id,geometry,timestamp
1,"{""type"":""LineString"",""coordinates"":[[-122.7278,37.7848],[-112.7917,34.0625]]}","2023/01/10 17:58:00"
2,"{""type"":""LineString"",""coordinates"":[[-122.7278,37.7848],[-112.7917,53.7292]]}","2023/01/10 21:25:00"
3,"{""type"":""LineString"",""coordinates"":[[-122.7278,37.7848],[-123.0417,45.3542]]}","2023/01/10 23:37:00"
